accession_number	organism_name	path
X87276	Klebsiella pneumoniae subsp. pneumoniae	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Klebsiella"
CP010523	Klebsiella variicola subsp. variicola	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Klebsiella"
AF009171	Klebsiella granulomatis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Klebsiella"
AJ251469	Enterobacter cloacae subsp. cloacae	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacter"
AJ417484	Enterobacter cloacae	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacter"
HQ651841	Enterobacter cloacae subsp. dissolvens	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacter"
HQ888848	Enterobacter siamensis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacter"
JF795013	Kosakonia oryziphila	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Kosakonia"
EU672801	Kosakonia arachidis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Kosakonia"
EF488759	Kosakonia oryzae	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Kosakonia"
CP018016	Kosakonia radicincitans	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Kosakonia"
KP345901	Kosakonia pseudosacchari	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Kosakonia"
JQ001784	Kosakonia sacchari	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Kosakonia"
JF795011	Kosakonia oryzendophytica	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Kosakonia"
MK567956	Kosakonia quasisacchari	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Kosakonia"
LK054215	Siccibacter colletis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Siccibacter"
DQ273681	Siccibacter turicensis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Siccibacter"
JN657217	Phytobacter massiliensis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Phytobacter"
KX893413	Phytobacter palmae	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Phytobacter"
FJ611881	Phytobacter ursingii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Phytobacter"
DQ821583	Phytobacter diazotrophicus	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Phytobacter"
AB273741	Citrobacter youngae	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Citrobacter"
LC368255	Enterobacter oligotrophicus	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacter"
EF059838	Cronobacter dublinensis subsp. lactaridi	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Cronobacter"
EF059841	Cronobacter dublinensis subsp. lausannensis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Cronobacter"
MF118666	Cronobacter dublinensis subsp. dublinensis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Cronobacter"
EF059891	Cronobacter turicensis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Cronobacter"
EF059877	Cronobacter universalis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Cronobacter"
AJKU01000067	Cronobacter muytjensii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Cronobacter"
CAKW01000111	Cronobacter condimenti	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Cronobacter"
AJKV01000019	Cronobacter malonaticus	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Cronobacter"
EF088379	Cronobacter sakazakii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Cronobacter"
KX865161	Franconibacter daqui	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Franconibacter"
DQ273684	Franconibacter pulveris	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Franconibacter"
DQ273688	Franconibacter helveticus	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Franconibacter"
CP001560	Shimwellia blattae	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Shimwellia"
FJ267523	Shimwellia pseudoproteus	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Shimwellia"
KF500917	Erwinia teleogrylli	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Erwinia"
GQ405202	Erwinia piriflorinigrans	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Erwinia"
AB242880	Erwinia pyrifoliae	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Erwinia"
AJ233410	Erwinia amylovora	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Erwinia"
AB546198	Erwinia uzenensis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Erwinia"
AM055716	Erwinia tasmaniensis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Erwinia"
MK722097	Mixta tenebrionis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Mixta"
FN547376	Erwinia aphidicola	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Erwinia"
AJ233417	Erwinia rhapontici	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Erwinia"
Z96086	Erwinia persicina	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Erwinia"
Y13249	Erwinia billingiae	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Erwinia"
LN624761	Erwinia endophytica	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Erwinia"
EU216736	Pantoea eucrina	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Pantoea"
JF295057	Pantoea wallisii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Pantoea"
DQ504305	Pantoea dispersa	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Pantoea"
KJ427829	Pantoea coffeiphila	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Pantoea"
AJ233414	Erwinia mallotivora	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Erwinia"
JQ809696	Erwinia psidii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Erwinia"
Y13250	Erwinia tracheiphila	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Erwinia"
KP326384	Mixta intestinalis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Mixta"
AB907776	Mixta theicola	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Mixta"
GU810925	Erwinia oleae	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Erwinia"
KY744694	Izhakiella australiensis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Izhakiella"
KF436763	Izhakiella capsodis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Izhakiella"
FJ611848	Erwinia gerundensis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Erwinia"
GQ367478	Mixta calida	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Mixta"
GQ367483	Mixta gaviniae	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Mixta"
MG923525	Kalamiella piersonii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Kalamiella"
KM870781	Erwinia iniecta	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Erwinia"
FR870447	Erwinia toletana	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Erwinia"
GU166291	Erwinia typographi	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Erwinia"
AJ233413	Pantoea cypripedii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Pantoea"
AJ508302	Enterobacter hormaechei subsp. hormaechei	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacter"
MK567958	Enterobacter quasihormaechei	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacter"
HF679035	Enterobacter hormaechei subsp. Xiangfangensis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacter"
AB004748	Pluralibacter gergoviae	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Pluralibacter"
AJ010486	Pluralibacter pyrinus	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Pluralibacter"
AJ853889	Enterobacter hormaechei subsp. oharae	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacter"
AJ853890	Enterobacter hormaechei subsp. steigerwaltii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacter"
CP017186	Enterobacter hormaechei subsp. hoffmannii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacter"
CP017183	Enterobacter hormaechei subsp. xiangfangensis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacter"
AB681776	Pseudescherichia vulneris	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Pseudescherichia"
HQ122932	Enterobacter bugandensis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacter"
Z96078	Enterobacter cancerogenus	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacter"
VTTY00000000	Enterobacter dykesii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacter"
MK049964	Enterobacter huaxiensis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacter"
AJ853891	Enterobacter ludwigii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacter"
AB681872	Leclercia adecarboxylata	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Leclercia"
MK567957	Enterobacter wuhouensis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacter"
MK049966	Enterobacter chuandaensis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacter"
ATDT01000040	Cedecea davisae	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Cedecea"
AB086230	Cedecea neteri	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Cedecea"
KY797643	Cedecea lapagei	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Cedecea"
GU814270	Enterobacter soli	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacter"
VTUC01000000	Enterobacter vonholyi	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacter"
LFDQ02000000	Enterobacter quasiroggenkampii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacter"
KP990658	Enterobacter mori	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacter"
EU721605	Enterobacter mori	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacter"
RXRX01000000	Enterobacter quasimori	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacter"
AB004744	Enterobacter asburiae	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacter"
CP017184	Enterobacter roggenkampii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacter"
MG832788	Enterobacter sichuanensis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacter"
MTSO01000000	Enterobacter chengduensis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacter"
JN175348	Curtobacterium plantarum	"Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Microbacteriaceae;""Curtobacterium"
AJ233423	Pantoea agglomerans	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Pantoea"
EU216737	Pantoea conspicua	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Pantoea"
EF688012	Pantoea vagans	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Pantoea"
EU216735	Pantoea brenneri	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Pantoea"
EF688009	Pantoea eucalypti	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Pantoea"
AY530795	Pantoea allii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Pantoea"
JX986959	Flavobacterium acidificum	"Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;""Flavobacterium"
U80196	Pantoea ananatis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Pantoea"
EF688010	Pantoea anthophila	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Pantoea"
EF688011	Pantoea deleyi	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Pantoea"
Y13251	Pantoea stewartii subsp. indologenes	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Pantoea"
U80208	Pantoea stewartii subsp. stewartii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Pantoea"
EU216734	Pantoea septica	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Pantoea"
MLFP01000054	Pantoea rodasii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Pantoea"
JF295055	Pantoea rwandensis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Pantoea"
DQ838096	Tatumella citrea	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Tatumella"
JPKR02000005	Tatumella morbirosei	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Tatumella"
FJ756351	Tatumella punctata	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Tatumella"
AJ233437	Tatumella ptyseos	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Tatumella"
FJ756353	Tatumella terrea	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Tatumella"
EU215774	Tatumella saanichensis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Tatumella"
KF876186	Rosenbergiella collisarenosi	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Rosenbergiella"
KF876184	Rosenbergiella epipactidis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Rosenbergiella"
HQ284827	Rosenbergiella nectarea	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Rosenbergiella"
KF876187	Rosenbergiella australiborealis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Rosenbergiella"
AB021400	Phaseolibacter flectens	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;""Phaseolibacter"
AF310218	Kluyvera cryocrescens	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Kluyvera"
AF310217	Kluyvera intermedia	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Kluyvera"
AF025368	Citrobacter braakii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Citrobacter"
AF025369	Citrobacter murliniae	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Citrobacter"
AJ233408	Citrobacter freundii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Citrobacter"
LT615140	Citrobacter europaeus	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Citrobacter"
MVFY01000035	Citrobacter portucalensis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Citrobacter"
MN548424	Citrobacter cronae	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Citrobacter"
AF025373	Citrobacter werkmanii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Citrobacter"
AF025367	Citrobacter gillenii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Citrobacter"
KP057683	Citrobacter pasteurii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Citrobacter"
JN175339	Yokenella regensburgei	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Yokenella"
JQ070300	Klebsiella michiganensis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Klebsiella"
MN091366	Klebsiella pasteurii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Klebsiella"
AJ871861	Klebsiella grimontii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Klebsiella"
MN091365	Klebsiella spallanzanii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Klebsiella"
AF129440	Klebsiella oxytoca	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Klebsiella"
AJ508301	Enterobacter kobei	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacter"
MH179329	Klebsiella huaxiensis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Klebsiella"
AB762091	Raoultella electrica	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Raoultella"
U78182	Raoultella ornithinolytica	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Raoultella"
AB680712	Raoultella planticola	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Raoultella"
CP002824	Klebsiella aerogenes	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Klebsiella"
AB680714	Raoultella terrigena	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Raoultella"
AB004749	Lelliottia amnigena	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Lelliottia"
Z96077	Lelliottia nimipressuralis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Lelliottia"
KX709881	Lelliottia jeotgali	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Lelliottia"
AJ233405	Buttiauxella noackiae	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Buttiauxella"
